date,station_id,station_name,longitude,latitude,rainfall_value
2024-09-11,S224,Airport Boulevard,103.98409,1.34392,0.0
2024-09-11,S77,Alexandra Road,103.8125,1.2937,0.0
2024-09-11,S216,Ang Mo Kio Avenue 10,103.85335,1.36019,0.0
2024-09-11,S109,Ang Mo Kio Avenue 5,103.8492,1.3764,0.0
2024-09-11,S117,Banyan Road,103.679,1.256,0.0
2024-09-11,S207,Bedok Road,103.95836,1.32485,0.0
2024-09-11,S217,Bishan Street 13,103.85526,1.35041,0.197
2024-09-11,S218,Bukit Batok Street 34,103.75065,1.36491,1.224
2024-09-11,S64,Bukit Panjang Road,103.7603,1.3824,0.0
2024-09-11,S90,Bukit Timah Road,103.8191,1.3191,0.0
2024-09-11,S208,Changi East Close,104.00317,1.3136,0.0
2024-09-11,S114,Choa Chu Kang Avenue 4,103.73,1.38,0.8
2024-09-11,S201,Clementi Park,103.76714,1.32311,0.2
2024-09-11,S50,Clementi Road,103.7768,1.3337,0.2
2024-09-11,S220,Compassvale Lane,103.89797,1.38666,4.872
2024-09-11,S213,Coronation Walk,103.8097,1.32427,0.0
2024-09-11,S107,East Coast Parkway,103.9625,1.3135,0.0
2024-09-11,S215,Geylang East Central,103.88899,1.32785,0.0
2024-09-11,S222,Henderson Road,103.82364,1.28987,0.0
2024-09-11,S221,Hougang Avenue 1,103.89088,1.35691,0.0
2024-09-11,S33,Jurong Pier Road,103.71,1.3081,0.2
2024-09-11,S229,Jurong West Street 42,103.72195,1.35167,0.609
2024-09-11,S228,Jurong West Street 73,103.70073,1.34703,0.0
2024-09-11,S71,Kent Ridge Road,103.7815,1.2923,0.0
2024-09-11,S43,Kim Chuan Road,103.8878,1.3399,0.0
2024-09-11,S211,Kranji Road,103.75711,1.42918,7.511
2024-09-11,S66,Kranji Way,103.7363,1.4387,2.2
2024-09-11,S07,Lornie Road,103.8334,1.3415,0.0
2024-09-11,S226,Malan Road,103.80389,1.27472,0.0
2024-09-11,S40,Mandai Lake Road,103.78962,1.4044,0.2
2024-09-11,S223,Margaret Drive,103.80264,1.29984,0.0
2024-09-11,S108,Marina Gardens Drive,103.8703,1.2799,0.0
2024-09-11,S113,Marine Parade Road,103.9104,1.30648,0.0
2024-09-11,S44,Nanyang Avenue,103.68166,1.34583,0.0
2024-09-11,S119,Nicoll Highway,103.8666,1.30105,0.0
2024-09-11,S121,Old Choa Chu Kang Road,103.72244,1.37288,1.6
2024-09-11,S35,Old Toh Tuck Road,103.7556,1.3329,0.8
2024-09-11,S203,Pasir Panjang,103.7702,1.29164,0.603
2024-09-11,S94,Pasir Ris Street 51,103.9528,1.3662,0.0
2024-09-11,S78,Poole Road,103.89067,1.30703,0.0
2024-09-11,S81,Punggol Central,103.9092,1.4029,1.2
2024-09-11,S111,Scotts Road,103.8365,1.31055,0.0
2024-09-11,S900,Seletar Aerospace View,103.86922,1.41284,4.2
2024-09-11,S60,Sentosa,103.8279,1.25,0.0
2024-09-11,S84,Simei Avenue,103.9444,1.3437,0.0
2024-09-11,S79,Somerset Road,103.8372,1.3004,0.0
2024-09-11,S214,Tanjong Rhu,103.88289,1.29911,0.0
2024-09-11,S123,Towner Road,103.8577,1.3214,0.2
2024-09-11,S89,Tuas Road,103.66162,1.31985,0.0
2024-09-11,S115,Tuas South Avenue 3,103.61843,1.29377,0.0
2024-09-11,S24,Upper Changi Road North,103.9826,1.3678,0.0
2024-09-11,S69,Upper Peirce Reservoir Park,103.805,1.37,0.0
